epoch,DE,E,I,loss,mse_odd_even_sol,val_DE,val_E,val_I,val_loss,val_mse_odd_even_sol
50,43.5521240234375,"""[42.161774]""","""[0.062121216]""",127.6075439453125,0.5735073089599609,NA,NA,NA,NA,NA
51,43.928001403808594,"""[42.074844]""","""[0.062473286]""",42.9913444519043,0.5731958150863647,NA,NA,NA,NA,NA
52,44.27263641357422,"""[41.995335]""","""[0.06280194]""",61.78031539916992,0.5728973150253296,NA,NA,NA,NA,NA
53,44.42837905883789,"""[41.988895]""","""[0.063122794]""",49.3663330078125,0.572030782699585,NA,NA,NA,NA,NA
54,44.67298889160156,"""[41.941555]""","""[0.063411884]""",254.84844970703125,0.5715922117233276,NA,NA,NA,NA,NA
55,45.490745544433594,"""[41.64703]""","""[0.063618645]""",98.25859069824219,0.5734087228775024,NA,NA,NA,NA,NA
56,46.60588455200195,"""[41.210026]""","""[0.06384118]""",69.51457214355469,0.5763301253318787,NA,NA,NA,NA,NA
57,47.9217643737793,"""[40.66114]""","""[0.06411857]""",200.05987548828125,0.5800014734268188,NA,NA,NA,NA,NA
58,48.60252380371094,"""[40.41493]""","""[0.06447609]""",90.65571594238281,0.5810220241546631,NA,NA,NA,NA,NA
59,48.918216705322266,"""[40.348125]""","""[0.06483971]""",108.9947509765625,0.5805854201316833,NA,NA,NA,NA,NA
60,48.840755462646484,"""[40.47322]""","""[0.06519758]""",43.02580642700195,0.5786088705062866,NA,NA,NA,NA,NA
61,48.8370475769043,"""[40.551914]""","""[0.06552443]""",70.13885498046875,0.577090859413147,NA,NA,NA,NA,NA
62,49.079689025878906,"""[40.502872]""","""[0.065812826]""",46.140777587890625,0.5767207741737366,NA,NA,NA,NA,NA
63,49.21009826660156,"""[40.502865]""","""[0.066081606]""",189.7808380126953,0.5760046243667603,NA,NA,NA,NA,NA
64,48.789512634277344,"""[40.758118]""","""[0.06634081]""",53.957481384277344,0.5732146501541138,NA,NA,NA,NA,NA
