epoch,DE,E,I,loss,mse_odd_even_sol,val_DE,val_E,val_I,val_loss,val_mse_odd_even_sol
49,3.4340972900390625,"""[7.3973083]""","""[0.0509766]""",8.297953605651855,0.5876346826553345,NA,NA,NA,NA,NA
50,3.4529786109924316,"""[7.3966537]""","""[0.051817957]""",8.295702934265137,0.584830641746521,NA,NA,NA,NA,NA
51,3.471186637878418,"""[7.3961864]""","""[0.052681513]""",8.293598175048828,0.5819846987724304,NA,NA,NA,NA,NA
52,3.490285634994507,"""[7.3959374]""","""[0.0535661]""",8.291674613952637,0.5791019797325134,NA,NA,NA,NA,NA
53,3.5116851329803467,"""[7.3959017]""","""[0.054470576]""",8.28992748260498,0.576187252998352,NA,NA,NA,NA,NA
54,3.53660249710083,"""[7.3960457]""","""[0.055393856]""",8.288326263427734,0.5732444524765015,NA,NA,NA,NA,NA
55,3.5660433769226074,"""[7.396311]""","""[0.05633509]""",8.28681468963623,0.5702770352363586,NA,NA,NA,NA,NA
56,3.6007981300354004,"""[7.3966293]""","""[0.05729371]""",8.285324096679688,0.567287027835846,NA,NA,NA,NA,NA
57,3.641446828842163,"""[7.3969383]""","""[0.058269538]""",8.283794403076172,0.5642752647399902,NA,NA,NA,NA,NA
58,3.6883749961853027,"""[7.397186]""","""[0.059262853]""",8.282172203063965,0.5612414479255676,NA,NA,NA,NA,NA
59,3.7417867183685303,"""[7.3973403]""","""[0.06027438]""",8.280424118041992,0.5581839680671692,NA,NA,NA,NA,NA
60,3.8017218112945557,"""[7.397385]""","""[0.061305396]""",8.278532981872559,0.5551000833511353,NA,NA,NA,NA,NA
61,3.868067741394043,"""[7.397327]""","""[0.062357686]""",8.27649974822998,0.5519855618476868,NA,NA,NA,NA,NA
62,3.940572738647461,"""[7.397181]""","""[0.06343355]""",8.274337768554688,0.5488353967666626,NA,NA,NA,NA,NA
63,4.018861770629883,"""[7.3969812]""","""[0.06453568]""",8.272074699401855,0.5456435084342957,NA,NA,NA,NA,NA
64,4.102447032928467,"""[7.396756]""","""[0.065667264]""",8.269733428955078,0.5424030423164368,NA,NA,NA,NA,NA
65,4.190749645233154,"""[7.396537]""","""[0.06683176]""",8.267339706420898,0.5391067862510681,NA,NA,NA,NA,NA
66,4.283121109008789,"""[7.396347]""","""[0.06803294]""",8.264909744262695,0.5357468128204346,NA,NA,NA,NA,NA
67,4.37887716293335,"""[7.3961997]""","""[0.069274776]""",8.262449264526367,0.5323153734207153,NA,NA,NA,NA,NA
68,4.477324962615967,"""[7.396102]""","""[0.07056136]""",8.259958267211914,0.5288046002388,NA,NA,NA,NA,NA
69,4.577805042266846,"""[7.3960495]""","""[0.071896866]""",8.257425308227539,0.525206983089447,NA,NA,NA,NA,NA
70,4.679722785949707,"""[7.3960357]""","""[0.07328543]""",8.25483512878418,0.5215154886245728,NA,NA,NA,NA,NA
71,4.782588481903076,"""[7.396046]""","""[0.07473121]""",8.252168655395508,0.5177236795425415,NA,NA,NA,NA,NA
72,4.886044502258301,"""[7.396073]""","""[0.076238185]""",8.249408721923828,0.5138257145881653,NA,NA,NA,NA,NA
73,4.989888668060303,"""[7.3961062]""","""[0.077810265]""",8.246540069580078,0.5098168253898621,NA,NA,NA,NA,NA
74,5.094084739685059,"""[7.3961377]""","""[0.07945125]""",8.243547439575195,0.5056926608085632,NA,NA,NA,NA,NA
75,5.198774337768555,"""[7.3961663]""","""[0.08116475]""",8.240424156188965,0.50145024061203,NA,NA,NA,NA,NA
76,5.304262638092041,"""[7.3961945]""","""[0.082954265]""",8.237167358398438,0.4970867931842804,NA,NA,NA,NA,NA
77,5.4110107421875,"""[7.396226]""","""[0.08482326]""",8.233774185180664,0.4926004409790039,NA,NA,NA,NA,NA
78,5.519610404968262,"""[7.3962646]""","""[0.086775094]""",8.230244636535645,0.4879899322986603,NA,NA,NA,NA,NA
79,5.630763053894043,"""[7.3963203]""","""[0.088813156]""",8.226581573486328,0.48325401544570923,NA,NA,NA,NA,NA
80,5.7452497482299805,"""[7.3963923]""","""[0.09094092]""",8.222780227661133,0.4783921539783478,NA,NA,NA,NA,NA
81,5.863898754119873,"""[7.396483]""","""[0.09316206]""",8.21883773803711,0.4734034836292267,NA,NA,NA,NA,NA
82,5.987566947937012,"""[7.3965974]""","""[0.095480405]""",8.214753150939941,0.46828708052635193,NA,NA,NA,NA,NA
83,6.1171040534973145,"""[7.396728]""","""[0.09790023]""",8.210512161254883,0.463041752576828,NA,NA,NA,NA,NA
84,6.253343105316162,"""[7.39687]""","""[0.100426234]""",8.206103324890137,0.4576658308506012,NA,NA,NA,NA,NA
85,6.3970746994018555,"""[7.397022]""","""[0.10306364]""",8.201517105102539,0.4521571397781372,NA,NA,NA,NA,NA
